Country,Criteria,Coverage,Year,Migrants_out,Migrants_in,Continent,Population
Ireland,Residence,Both,2000,26300.0,57400.0,Europe,3805174.0
Italy,Residence,Both,2000,56601.0,226968.0,Europe,56942108.0
Kazakhstan,Residence,Both,2000,155749.0,50166.0,Asia,14883626.0
Kyrgyz Republic,Residence,Both,2000,27887.0,5349.0,Asia,4898400.0
Latvia,Residence,Both,2000,22911.0,6483.0,Europe,2367550.0
Lithuania,Residence,Both,2000,2616.0,1510.0,Europe,3499536.0
Luxembourg,Residence,Both,2000,8121.0,11765.0,Europe,436300.0
Malta,Residence,Both,2000,67.0,22.0,Europe,381363.0
Netherlands,Residence,Both,2000,61201.0,132850.0,Europe,15925513.0
Norway,Residence,Both,2000,26854.0,36493.0,Europe,4490967.0
Poland,Residence,Both,2000,26999.0,7331.0,Europe,38258629.0
Portugal,Residence,Both,2000,10660.0,57660.0,Europe,10289898.0
Romania,Residence,Both,2000,14753.0,11024.0,Europe,22442971.0
Russian Federation,Residence,Both,2000,145720.0,359330.0,Europe,146596557.0
Slovak Republic,Residence,Both,2000,811.0,2274.0,Europe,5388720.0
Slovenia,Residence,Both,2000,3570.0,6185.0,Europe,1988925.0
Sweden,Residence,Both,2000,34091.0,58659.0,Europe,8872109.0
Macedonia,Residence,Both,2000,165.0,639.0,Europe,2012051.0
Ukraine,Residence,Both,2000,100325.0,53712.0,Europe,49175848.0
Armenia,Residence,Both,2001,11901.0,1764.0,Asia,3060036.0
Australia,Residence,Both,2001,216130.0,356410.0,Australia,19413000.0
Azerbaijan,Residence,Both,2001,7288.0,2574.0,Asia,8111200.0
Belarus,Residence,Both,2001,14270.0,23355.0,Europe,9928000.0
Belgium,Residence,Both,2001,75261.0,110410.0,Europe,10286570.0
Czech Republic,Residence,Both,2001,21469.0,12918.0,Europe,10216605.0
Denmark,Residence,Both,2001,43980.0,55984.0,Europe,5358783.0
Estonia,Residence,Both,2001,2175.0,241.0,Europe,1388115.0
Finland,Residence,Both,2001,13153.0,18955.0,Europe,5188008.0
