Country,Criteria,Type,Coverage,Year,Migrants
Greece,Residence,Immigrants,Both,2008,66529
Hungary,Residence,Emigrants,Both,2008,9591
Hungary,Residence,Immigrants,Both,2008,37652
Iceland,Residence,Emigrants,Both,2008,9144
Iceland,Residence,Immigrants,Both,2008,10288
Ireland,Residence,Emigrants,Both,2008,65934
Ireland,Residence,Immigrants,Both,2008,82592
Italy,Residence,Emigrants,Both,2008,80947
Italy,Residence,Immigrants,Both,2008,534712
Kazakhstan,Residence,Emigrants,Both,2008,45287
Kazakhstan,Residence,Immigrants,Both,2008,44975
Kyrgyz Republic,Residence,Emigrants,Both,2008,41287
Kyrgyz Republic,Residence,Immigrants,Both,2008,3497
Latvia,Residence,Emigrants,Both,2008,27045
Latvia,Residence,Immigrants,Both,2008,4678
Liechtenstein,Residence,Immigrants,Both,2008,578
Lithuania,Residence,Emigrants,Both,2008,25750
Lithuania,Residence,Immigrants,Both,2008,9297
Luxembourg,Residence,Emigrants,Both,2008,10058
Luxembourg,Residence,Immigrants,Both,2008,17758
Malta,Residence,Emigrants,Both,2008,3719
Malta,Residence,Immigrants,Both,2008,6043
Netherlands,Residence,Emigrants,Both,2008,90067
Netherlands,Residence,Immigrants,Both,2008,143516
Norway,Residence,Emigrants,Both,2008,12976
Norway,Residence,Immigrants,Both,2008,58123
Poland,Residence,Emigrants,Both,2008,74338
Poland,Residence,Immigrants,Both,2008,15379
Portugal,Residence,Emigrants,Both,2008,20357
Portugal,Residence,Immigrants,Both,2008,29718
Romania,Residence,Emigrants,Both,2008,302796
Romania,Residence,Immigrants,Both,2008,138929
Russian Federation,Residence,Emigrants,Both,2008,39508
Russian Federation,Residence,Immigrants,Both,2008,281614
Slovak Republic,Residence,Emigrants,Both,2008,4857
Slovak Republic,Residence,Immigrants,Both,2008,17820
Slovenia,Residence,Emigrants,Both,2008,12109
Slovenia,Residence,Immigrants,Both,2008,30693
Spain,Residence,Emigrants,Both,2008,288432
Spain,Residence,Immigrants,Both,2008,599075
Sweden,Residence,Emigrants,Both,2008,45294
Sweden,Residence,Immigrants,Both,2008,101171
"Macedonia, FYR",Residence,Emigrants,Both,2008,751
United Kingdom,Residence,Emigrants,Both,2008,427207
United Kingdom,Residence,Immigrants,Both,2008,590242
Armenia,Residence,Emigrants,Both,2009,4100
Armenia,Residence,Immigrants,Both,2009,861
Austria,Residence,Emigrants,Both,2009,53244
Austria,Residence,Immigrants,Both,2009,69295
Azerbaijan,Residence,Emigrants,Both,2009,1373
Azerbaijan,Residence,Immigrants,Both,2009,2292
Belarus,Residence,Emigrants,Both,2009,7643
Belarus,Residence,Immigrants,Both,2009,19891
Bulgaria,Residence,Immigrants,Both,2009,3249
Cyprus,Residence,Emigrants,Both,2009,9829
Czech Republic,Residence,Emigrants,Both,2009,61782
Czech Republic,Residence,Immigrants,Both,2009,75620
Denmark,Residence,Emigrants,Both,2009,39899
Denmark,Residence,Immigrants,Both,2009,51800
Estonia,Residence,Emigrants,Both,2009,4658
Estonia,Residence,Immigrants,Both,2009,3884
Finland,Residence,Emigrants,Both,2009,12151
Finland,Residence,Immigrants,Both,2009,26699
France,Residence,Emigrants,Both,2009,264631
France,Residence,Immigrants,Both,2009,296970
Germany,Residence,Emigrants,Both,2009,286582
Germany,Residence,Immigrants,Both,2009,346216
Greece,Residence,Emigrants,Both,2009,43686
Greece,Residence,Immigrants,Both,2009,58613
Hungary,Residence,Emigrants,Both,2009,10483
Hungary,Residence,Immigrants,Both,2009,27894
Iceland,Residence,Emigrants,Both,2009,6874
Iceland,Residence,Immigrants,Both,2009,3921
Ireland,Residence,Emigrants,Both,2009,69672
Ireland,Residence,Immigrants,Both,2009,50604
Italy,Residence,Emigrants,Both,2009,80597
Italy,Residence,Immigrants,Both,2009,442940
Kazakhstan,Residence,Emigrants,Both,2009,33983
Kazakhstan,Residence,Immigrants,Both,2009,42032
Latvia,Residence,Emigrants,Both,2009,38208
Latvia,Residence,Immigrants,Both,2009,3731
Liechtenstein,Residence,Immigrants,Both,2009,584
Lithuania,Residence,Emigrants,Both,2009,38500
Lithuania,Residence,Immigrants,Both,2009,6487
Luxembourg,Residence,Emigrants,Both,2009,9168
